                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7601,                 3.3897,                 1.0257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.069996,              0.0028124,              0.0028124
                      2,                 3.0205,                  3.756,                 1.1129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038755,              0.0045174,              0.0045174
                      3,                 2.9895,                 3.7147,                 1.0928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063939,              0.0051019,              0.0051019
                      4,                 2.8274,                  3.474,                 1.0568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034681,              0.0034681,              0.0034681
                      5,                 2.7547,                 3.3942,                 1.0293,                 0.2814,                0.14691,                0.11476,                0.04316,                 2.6824,                 3.1826,                 1.0204,              0.0034681,              0.0034681,              0.0034681
                      1,                 2.7576,                 3.9094,                0.92354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072822,              0.0025996,              0.0025996
                      2,                 2.9835,                 4.2611,                0.99764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.044504,              0.0041756,              0.0041756
                      3,                 2.9759,                  4.197,                 1.0001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01515,              0.0047158,              0.0047158
                      4,                 2.7667,                 3.9026,                0.93342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035328,              0.0035328,              0.0035328
                      5,                 2.7606,                 3.8463,                0.94991,                0.29027,                0.16583,                0.12497,                0.04622,                 2.6303,                 3.3927,                0.91058,              0.0035328,              0.0035328,              0.0035328
